关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,来伊份称产品以OEM代工为主 凸显管理漏洞,世纪经济报道记者张赛男刘婧汐上海、广州报道5月12日早间，来伊份（603777.SH）发布公告回应蜜枣粽产品的相关舆情,2025-05-12 11:43:50,21世纪经济报道,http://finance.eastmoney.com/a/202505123401866095.html
603777,来伊份入局威士忌：单桶定价7.28万，借上海气候优势缩短熟成周期,季干燥、昼夜温差显著，这是本土威士忌品牌“望空”的熟成实验室，来伊份603777.SH)与上海沪威酒业有限公司总经理陈汉树团队在此实验，,2025-07-18 19:49:46,蓝鲸新闻,http://finance.eastmoney.com/a/202507183461363630.html
603777,除了卖演唱会门票，时代少年团还从这些上市公司赚了大钱,官宣代言的品牌，涉及消费类等领域的多家A股（拟）上市公司，包括来伊份（603777,2025-08-20 20:20:57,第一财经,http://finance.eastmoney.com/a/202508203489649767.html
603777,来伊份一季度归母净利润1244万元 同比下降79.7%,4月28日，来伊份603777公布2025年一季报，公司营业收入为10.5亿元，同比下降1.2%；归母净利润为1244,2025-04-29 19:57:30,财中社,http://finance.eastmoney.com/a/202504293393123965.html
603777,两融余额增加166.82亿元 杠杆资金大幅加仓504股,来伊份11361.5932.276.28食品饮料430017星昊医药4611.8130.46-1.66医药生物301112,2025-08-12 09:38:20,证券时报网,http://finance.eastmoney.com/a/202508123481899657.html
603777,ETF最前线 | 天弘中证食品饮料ETF(159736)早盘上涨0.42%，白酒概念主题震荡，古越龙山上涨10.03%,石股份(600696.SH)、天佑德酒(002646.SZ)、来伊份603777.SH)与皇台酒业(000995.SZ)。,2025-05-27 11:56:30,南方财经网,http://finance.eastmoney.com/a/202505273415466282.html
603777,来伊份：借力热门IP及社交平台破圈 | 直击业绩会,财联社6月12日讯（记者吴蔚玲）量贩零食等新兴渠道来势汹汹，来伊份（603777.SH）2024年业绩承压。,2025-06-12 20:19:04,财联社,http://finance.eastmoney.com/a/202506123429086311.html
603777,86只股涨停 最大封单资金4.03亿元,来伊份14.195.42248.343523.94食品饮料603076乐惠国际26.553.01126.003345.38,2025-05-26 16:18:51,证券时报网,http://finance.eastmoney.com/a/202505263414489949.html
603777,来伊份2024年亏损7527万元 营业收入33.7亿元,4月28日，来伊份603777公布2024年年报，公司营业收入为33.7亿元，下降15.3%；归母净利润亏损7527,2025-04-29 19:42:51,财中社,http://finance.eastmoney.com/a/202504293393112186.html
603777,来伊份：预计2025年上半年亏损4700万元-7000万元,中证智能财讯来伊份（603777）7月11日晚间披露业绩预告，预计2025年上半年归母净利润亏损4700万元至7000,2025-07-11 19:42:48,中国证券报·中证网,http://finance.eastmoney.com/a/202507113454781397.html
603777,ETF最前线 | 嘉实富时中国A50ETF(512550)早盘下跌0.58%，白酒概念主题震荡，古越龙山上涨10.03%,石股份(600696.SH)、天佑德酒(002646.SZ)、来伊份603777.SH)与皇台酒业(000995.SZ)。,2025-05-27 11:56:29,南方财经网,http://finance.eastmoney.com/a/202505273415465745.html
603777,ETF最前线 | 华夏上证50ETF(510050)早盘下跌0.4%，白酒概念主题震荡，古越龙山上涨10.03%,石股份(600696.SH)、天佑德酒(002646.SZ)、来伊份603777.SH)与皇台酒业(000995.SZ)。,2025-05-27 11:56:30,南方财经网,http://finance.eastmoney.com/a/202505273415465985.html
603777,ETF最前线 | 万家上证50ETF(510680)早盘下跌0.5%，白酒概念主题震荡，古越龙山上涨10.03%,石股份(600696.SH)、天佑德酒(002646.SZ)、来伊份603777.SH)与皇台酒业(000995.SZ)。,2025-05-27 11:56:31,南方财经网,http://finance.eastmoney.com/a/202505273415466530.html
603777,ETF最前线 | 博时上证50ETF(510710)早盘下跌0.21%，白酒概念主题震荡，古越龙山上涨10.03%,石股份(600696.SH)、天佑德酒(002646.SZ)、来伊份603777.SH)与皇台酒业(000995.SZ)。,2025-05-27 11:56:32,南方财经网,http://finance.eastmoney.com/a/202505273415466698.html
603777,魔芋“带飞”零食巨头业绩：盐津铺子、卫龙上半年营收双双增近两成 超三十品牌“杀入”推动原料价格翻倍,品铺子（603719.SH）、三只松鼠(300783.SZ)、来伊份603777.SH)、,2025-08-21 22:43:58,蓝鲸新闻,http://finance.eastmoney.com/a/202508213491013843.html
603777,三只松鼠终止收购，爱零食创始人发视频讲述谈崩细节，并称已向法院起诉,并与其确定了三只松鼠收购爱零食的合作意向，为此自己还放弃了与来伊份（603777.SH）洽谈的机会。,2025-06-24 18:22:42,红星资本局,http://finance.eastmoney.com/a/202506243439046219.html
603777,168家公司半年报业绩预告翻倍，产品涨价与行业景气度成胜负手,零食企业来伊份（603777.SH）预计上半年归母净利润亏损4700万元~7000万元，同比由盈转亏。,2025-07-13 19:22:23,第一财经,http://finance.eastmoney.com/a/202507133455453335.html
603777,【公告汇总】6月3日上市公司股份回购一览,来伊份（603777）截至2025年5月31日已回购股份271万股，占总股本的0.81%，回购金额为2726万元，实际回购价格区间为,2025-06-03 20:35:53,财中社,http://finance.eastmoney.com/a/202506033420851839.html
603777,【公告汇总】6月5日上市公司股份回购一览,来伊份（603777）截至2025年6月4日已回购291万股，占总股本的0.87%，回购金额为3022万元，回购价格区间为,2025-06-05 20:43:53,财中社,http://finance.eastmoney.com/a/202506053423128620.html
603777,涪陵榨菜布局休闲零食，能否力挽业绩颓势？,存量竞争之下，良品铺子、来伊份（603777.SH）等零食上市公司面临亏损。,2025-05-25 16:47:04,南方都市报,http://finance.eastmoney.com/a/202505253413795034.html
